wing_length,tail_length,comb_height,breeds
238,63,34,a
236,67,30,a
256,65,34,a
240,63,35,a
246,65,30,a
233,65,30,a
235,66,30,a
241,66,35,a
232,64,31,a
234,64,30,a
232,62,33,a
252,63,30,a
248,63,35,a
235,64,32,a
233,65,30,a
236,64,32,a
240,66,33,a
233,67,33,a
257,62,30,a
259,64,34,a
253,65,31,a
234,67,30,a
233,63,33,a
241,64,35,a
256,67,34,a
231,64,35,a
256,62,35,a
249,66,33,a
234,64,34,a
253,63,34,a
256,64,30,a
250,63,30,a
237,67,35,a
242,63,31,a
258,63,33,a
257,66,35,a
245,62,31,a
242,64,30,a
260,62,32,a
238,65,33,a
256,63,35,a
236,67,35,a
257,64,33,a
238,63,33,a
244,67,33,a
234,65,33,a
249,62,33,a
234,64,31,a
238,64,32,a
232,67,35,a
234,67,30,a
233,63,32,a
242,63,33,a
257,62,31,a
242,63,31,a
247,65,30,a
252,67,31,a
234,65,32,a
240,67,32,a
239,66,31,a
230,65,34,a
248,67,34,a
234,67,30,a
259,67,33,a
260,62,32,a
238,67,32,a
260,62,33,a
249,65,31,a
260,65,32,a
246,62,35,a
248,64,35,a
253,64,30,a
255,67,31,a
260,64,33,a
249,66,31,a
238,65,35,a
245,67,31,a
244,64,32,a
237,65,30,a
246,64,33,a
225,66,33,b
219,69,37,b
216,71,38,b
237,68,38,b
229,66,34,b
224,66,34,b
218,67,33,b
218,70,35,b
218,67,36,b
231,70,38,b
230,66,36,b
228,67,36,b
212,69,37,b
232,69,38,b
230,66,38,b
217,69,33,b
214,70,34,b
218,66,36,b
219,66,33,b
217,70,33,b
226,69,34,b
212,70,34,b
223,69,33,b
223,68,36,b
236,67,36,b
222,71,33,b
218,66,38,b
222,70,36,b
222,69,33,b
230,69,37,b
216,66,38,b
228,71,38,b
238,68,36,b
217,69,34,b
226,67,37,b
223,66,34,b
222,68,38,b
227,71,33,b
213,68,33,b
237,69,37,b
238,71,37,b
226,68,36,b
220,68,35,b
226,69,35,b
218,66,33,b
211,67,34,b
223,66,33,b
231,66,34,b
211,69,37,b
220,66,36,b
230,66,36,b
220,70,35,b
214,69,37,b
211,67,36,b
212,70,38,b
230,66,38,b
217,69,35,b
232,70,35,b
211,71,38,b
220,67,38,b
217,70,38,b
230,67,38,b
229,68,36,b
211,67,34,b
233,71,37,b
237,70,37,b
232,66,38,b
212,70,35,b
211,71,38,b
231,67,33,b
239,66,38,b
212,67,36,b
226,71,38,b
225,70,35,b
231,71,34,b
235,66,38,b
229,71,35,b
232,69,36,b
221,67,37,b
220,66,37,b
242,71,36,c
226,73,36,c
228,71,33,c
246,69,35,c
246,69,37,c
241,70,32,c
247,73,32,c
228,71,34,c
227,73,35,c
244,74,32,c
240,71,34,c
241,70,36,c
231,72,36,c
244,71,36,c
247,69,33,c
238,72,34,c
228,70,36,c
236,69,36,c
253,69,34,c
255,73,33,c
235,70,35,c
237,70,33,c
227,72,32,c
229,71,34,c
234,71,36,c
226,71,33,c
241,70,32,c
228,73,32,c
243,71,37,c
236,74,34,c
254,73,37,c
239,70,32,c
248,71,35,c
236,69,35,c
228,74,32,c
227,69,33,c
247,73,34,c
248,72,35,c
231,73,36,c
229,73,37,c
228,73,33,c
258,70,33,c
255,73,34,c
254,70,33,c
252,74,33,c
255,74,32,c
257,69,33,c
227,73,36,c
236,72,32,c
236,69,32,c
238,69,32,c
255,72,37,c
237,70,33,c
247,71,36,c
244,69,32,c
250,72,33,c
226,70,37,c
256,69,34,c
248,69,34,c
235,73,34,c
241,69,36,c
231,74,32,c
249,71,36,c
230,69,35,c
252,71,33,c
228,73,36,c
257,72,34,c
253,71,33,c
241,71,32,c
250,74,35,c
243,74,35,c
249,73,37,c
253,74,33,c
229,72,35,c
242,73,34,c
253,72,34,c
236,74,32,c
230,74,33,c
237,72,32,c
252,70,33,c
