breeds,weight,food
a,2765,217
a,2843,235
a,2678,207
a,2595,204
a,2734,226
a,2616,197
a,2605,216
a,2838,219
a,2900,237
a,2415,178
a,2491,198
a,2853,234
a,2424,190
a,2763,216
a,2568,205
a,2690,213
a,2557,193
a,2934,236
a,2460,197
a,2991,230
a,2843,231
a,2796,227
a,2874,233
a,2644,217
a,2849,218
a,2649,199
a,2444,180
a,2771,217
a,2993,232
a,2555,198
a,2906,227
a,2424,193
a,2567,206
a,2667,217
a,2949,239
a,2824,214
a,2443,182
a,2630,205
a,2999,247
a,2404,182
a,2818,228
a,2989,245
a,2403,178
a,2599,197
a,2592,201
a,2506,182
a,2803,212
a,2667,218
a,2946,246
a,2880,238
a,2457,181
a,2534,198
a,2671,212
a,2805,220
a,2652,202
a,2645,214
a,2812,229
a,2698,212
a,2832,231
a,2774,218
a,2572,206
a,2458,182
a,2777,223
a,2941,231
a,2981,236
a,2581,210
a,2830,224
a,2844,222
a,2981,245
a,2534,195
a,2458,192
a,2785,217
a,2728,223
a,2406,185
a,2986,249
a,2720,214
a,2494,195
a,2939,232
a,2747,221
a,2435,189
a,2517,192
a,2977,249
a,2540,196
a,2479,194
a,2603,201
a,2493,196
a,2716,217
a,2707,211
a,2632,206
a,2680,213
a,2778,232
a,2577,200
a,2972,245
a,2727,212
a,2746,228
a,2765,223
a,2521,197
a,2419,194
a,2517,186
a,2977,239
